Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items
10104985,MKKBHUHB,MBH 101 Nagykanizsa,"8800 Nagykanizsa, Erzsébet tér 19.",S,R
10104992,MKKBHUHB,MBH 101 Autóhitel,"1138 Budapest, Váci út 193.",S,R
10105058,MKKBHUHB,MBH 504 Káloz Bajcsy,"8124 Káloz, Bajcsy-Zsilinszky utca 3",S,R
10105065,MKKBHUHB,MBH 504 Gönc Kossuth,"3895 Gönc, Kossuth Lajos utca 42",S,R
10105072,MKKBHUHB,MBH 504 Ajka Szabadság11,"8400 Ajka, Szabadság tér 11",S,R
10105089,MKKBHUHB,MBH 504 Aszód Kossuth,"2170 Aszód, Kossuth Lajos utca 4",S,R
10105096,MKKBHUHB,MBH 504 Tura Bartók,"2194 Tura, Bartók tér 21",S,R
10105106,MKKBHUHB,MBH 504 Bácsalmás GrófTeleki,"6430 Bácsalmás, Gróf Teleki József utca 2",S,R
10105113,MKKBHUHB,MBH 504 Bácsbokod GrófSzéchenyi,"6453 Bácsbokod, Gróf Széchenyi István utca 85",S,R
10105120,MKKBHUHB,MBH 504 Baja Szentháromság,"6500 Baja, Szentháromság tér 7",S,R
10105137,MKKBHUHB,MBH 504 Hercegszántó Albert,"6525 Hercegszántó, Albert Flórián tér 2",S,R
10105144,MKKBHUHB,MBH 504 Vaskút Alkotmány,"6521 Vaskút, Alkotmány utca 3/A",S,R
10105151,MKKBHUHB,MBH 504 Baktalórántháza Köztársaság,"4561 Baktalórántháza, Köztársaság tér 7",S,R
10105168,MKKBHUHB,MBH 504 Levelek Rákóczi,"4555 Levelek, Rákóczi utca 4",S,R
10105175,MKKBHUHB,MBH 504 Balassagyarmat Thököly,"2660 Balassagyarmat, Thököly utca 1",S,R
10105182,MKKBHUHB,MBH 504 Érsekvadkert Rákóczi,"2659 Érsekvadkert, Rákóczi út 122",S,R
10105199,MKKBHUHB,MBH 504 Balatonalmádi Baross,"8220 Balatonalmádi, Baross Gábor út 11",S,R
10105209,MKKBHUHB,MBH 504 Balatonföldvár Balatonszentgy,"8623 Balatonföldvár, Balatonszentgyörgyi út 1",S,R
10105216,MKKBHUHB,MBH 504 Balatonfüred Kossuth,"8230 Balatonfüred, Kossuth Lajos utca 20",S,R
10105223,MKKBHUHB,MBH 504 Balmazújvárosi Veres,"4060 Balmazújváros, Veres Péter utca 3",S,R
10105230,MKKBHUHB,MBH 504 Barcs Bajcsy,"7570 Barcs, Bajcsy-Zsilinszky utca 83",S,R
10105247,MKKBHUHB,MBH 504 Bátonyterenye Ózdi,"3070 Bátonyterenye, Ózdi út 47",S,R
10105254,MKKBHUHB,MBH 504 Békéscsaba Andrássy,"5600 Békéscsaba, Andrássy út 29-33",S,R
10105261,MKKBHUHB,MBH 504 Újkígyós Gyulai,"5661 Újkígyós, Gyulai út 25",S,R
10105278,MKKBHUHB,MBH 504 Békéscsaba Hunyadi,"5600 Békéscsaba, Hunyadi tér 10.",S,R
10105285,MKKBHUHB,MBH 504 Békéscsaba Mednyánszki,"5600 Békéscsaba, Mednyánszki utca 8",S,R
10105292,MKKBHUHB,MBH 504 Békés Szarvasi,"5630 Békés, Szarvasi utca 1",S,R
10105302,MKKBHUHB,MBH 504 Mezőberény Békési,"5650 Mezőberény, Békési út 6",S,R
10105319,MKKBHUHB,MBH 504 Bélapátfalva Május1,"3346 Bélapátfalva, Május 1. út 2/A",S,R
10105326,MKKBHUHB,MBH 504 Berettyóújfalu Dózsa,"4100 Berettyóújfalu, Dózsa György utca 3-5",S,R
10105333,MKKBHUHB,MBH 504 Biharkeresztes Hősök,"4110 Biharkeresztes, Hősök tere 10",S,R
10105340,MKKBHUHB,MBH 504 Alcsútdoboz Béke,"8087 Alcsútdoboz, Béke utca 1",S,R
10105357,MKKBHUHB,MBH 504 Bicske Csabdi,"2060 Bicske, Csabdi út 4",S,R
10105364,MKKBHUHB,MBH 504 Cigánd Fő,"3973 Cigánd, Fő út 75",S,R
10105371,MKKBHUHB,MBH 504 Bonyhád Szabadság9,"7150 Bonyhád, Szabadság tér 9",S,R
10105388,MKKBHUHB,MBH 504 Tevel Fő,"7181 Tevel, Fő utca 396",S,R
10105395,MKKBHUHB,MBH 504 Budakeszi Fő,"2092 Budakeszi, Fő utca 126",S,R
10105405,MKKBHUHB,MBH 504 Herceghalom Zsámbéki,"2053 Herceghalom, Zsámbéki út 16",S,R
10105412,MKKBHUHB,MBH 504 Törökbálint Munkácsy,"2045 Törökbálint, Munkácsy Mihály utca 11",S,R
10105429,MKKBHUHB,MBH 504 Budapest Árpád45,"1043 Budapest, Árpád út 45.",S,R
10105436,MKKBHUHB,MBH 504 Budapest Báthory,"1054 Budapest, Báthory utca 1.",S,R
10105443,MKKBHUHB,MBH 504 Budapest Czuczor,"1093 Budapest, Czuczor utca 2-10",S,R
10105450,MKKBHUHB,MBH 504 Budapest Flórián,"1033 Budapest, Flórián tér 4-5.",S,R
10105467,MKKBHUHB,MBH 504 Pálháza Dózsa,"3994 Pálháza, Dózsa György út 119",S,R
10105474,MKKBHUHB,MBH 504 Budapest Infopark,"1117 Budapest, Magyar Tudósok kör út a 9",S,R
10105481,MKKBHUHB,MBH 504 Budapest Károly,"1075 Budapest, Károly kör út 7",S,R
10105498,MKKBHUHB,MBH 504 Budapest Kolozsvár,"1155 Budapest, Kolozsvár utca 2/b",S,R
10105508,MKKBHUHB,MBH 504 Budapest Kossuth,"1201 Budapest, Kossuth Lajos utca 32-36",S,R
10105515,MKKBHUHB,MBH 504 Budapest KossuthLajos47,"1211 Budapest, Kossuth Lajos utca 47-49.",S,R
10105522,MKKBHUHB,MBH 504 Abaújszántó Béke,"3881 Abaújszántó, Béke út 32",S,R
10105539,MKKBHUHB,MBH 504 Balatonkenese Fő Fiók,"8174 Balatonkenese, Fő utca 23",S,R
10105546,MKKBHUHB,MBH 504 Budapest Üllői399,"1181 Budapest, Üllői út 399",S,R
10105553,MKKBHUHB,MBH 504 Budapest Üllői48,"1082 Budapest, Üllői út 48.",S,R
10105560,MKKBHUHB,MBH 504 Budapest Váci20,"1132 Budapest, Váci út 20.",S,R
10105577,MKKBHUHB,MBH 504 Budapest Váci6,"1132 Budapest, Váci út 6.",S,R
10105584,MKKBHUHB,MBH 504 Budapest Villányi,"1113 Budapest, Villányi út 20.",S,R
10105591,MKKBHUHB,MBH 504 Budapest Zalán,"1144 Budapest, Zalán utca 23",S,R
10105601,MKKBHUHB,MBH 504 Abony Kossuth,"2740 Abony, Kossuth tér 3-4",S,R
10105618,MKKBHUHB,MBH 504 Albertirsa Pesti,"2730 Albertirsa, Pesti út 28",S,R
10105625,MKKBHUHB,MBH 504 Pilis Rákóczi,"2721 Pilis, Rákóczi utca 34",S,R
10105632,MKKBHUHB,MBH 504 Cegléd Eötvös,"2700 Cegléd, Eötvös tér 6",S,R
